session,line,ts_start,ts_end,wav,wav_found,pattern,text,file_size,full_path,label,correction
transcript_20260311_235011,56,00:04:37.568,00:04:38.144,04m37.568s-04m38.144s.wav,True,字幕,中文字幕提供,19500,transcript_20260311_235011/04m37.568s-04m38.144s.wav,辨識錯誤,重點
transcript_20260311_235011,382,00:23:37.632,00:23:37.760,23m37.632s-23m37.760s.wav,True,字幕,字幕志願者 楊茜茜,5164,transcript_20260311_235011/23m37.632s-23m37.760s.wav,無音效,
transcript_20260311_235011,414,00:25:44.800,00:25:45.152,25m44.800s-25m45.152s.wav,True,我們下[期集]再見,我們下期再見,12332,transcript_20260311_235011/25m44.800s-25m45.152s.wav,無音效,
transcript_20260311_235011,445,00:27:21.440,00:27:21.632,27m21.440s-27m21.632s.wav,True,MING PAO,MING PAO CANADA // MING PAO TORONTO,7212,transcript_20260311_235011/27m21.440s-27m21.632s.wav,無音效,
transcript_20260311_235011,526,00:31:23.264,00:31:23.456,31m23.264s-31m23.456s.wav,True,MING PAO,MING PAO CANADA MING PAO TORONTO,7212,transcript_20260311_235011/31m23.264s-31m23.456s.wav,無音效,
transcript_20260311_235011,532,00:31:44.000,00:31:44.192,31m44.000s-31m44.192s.wav,True,字幕,中文字幕 李宗盛,7212,transcript_20260311_235011/31m44.000s-31m44.192s.wav,無音效,
transcript_20260311_235011,628,00:37:09.216,00:37:09.568,37m09.216s-37m09.568s.wav,True,字幕,中文字幕志願者 李宗盛,12332,transcript_20260311_235011/37m09.216s-37m09.568s.wav,無音效,
transcript_20260311_235011,667,00:38:52.672,00:38:53.056,38m52.672s-38m53.056s.wav,True,字幕,中文字幕 李宗盛,13356,transcript_20260311_235011/38m52.672s-38m53.056s.wav,無音效,
transcript_20260311_235011,725,00:42:30.880,00:42:31.136,42m30.880s-42m31.136s.wav,True,字幕,字幕由 Amara.org 社群提供,9260,transcript_20260311_235011/42m30.880s-42m31.136s.wav,無音效,
transcript_20260311_235011,750,00:43:39.680,00:43:39.808,43m39.680s-43m39.808s.wav,True,字幕,中文字幕提供,5164,transcript_20260311_235011/43m39.680s-43m39.808s.wav,無音效,
transcript_20260311_235011,752,00:43:47.296,00:43:47.424,43m47.296s-43m47.424s.wav,True,字幕,字幕by索蘭婭,5164,transcript_20260311_235011/43m47.296s-43m47.424s.wav,無音效,
